iteração,dimensão,mu,quantidade de observações,quantidade de agrupamentos,tempo de execução (s)
1,2,1.1,10,2,0.145936544999131
2,2,1.2100000000000002,10,2,0.0015484079995076172
3,2,1.3310000000000004,10,2,0.00294831700011855
4,2,1.4641000000000004,10,2,0.002708212996367365
5,2,1.6105100000000006,10,2,0.0027424680010881275
6,2,1.7715610000000008,10,2,0.002708536005229689
7,2,1.9487171000000012,10,2,0.0027505939942784607
8,2,2.1435888100000016,10,2,0.0027192639972781762
9,2,2.357947691000002,10,2,0.002750535000814125
10,2,2.5937424601000023,10,2,0.002738561001024209
11,2,2.8531167061100025,10,2,0.002767907004454173
12,2,3.138428376721003,10,2,0.0027567249999265186
13,2,3.452271214393104,10,2,0.002639764999912586
14,2,3.7974983358324144,10,2,0.00269315699551953
15,2,4.177248169415656,10,2,0.0027262580042588525
16,2,4.594972986357222,10,2,0.002693926995561924
17,2,5.054470284992945,10,2,0.0026715860003605485
18,2,5.55991731349224,10,2,0.002660132995515596
19,2,6.115909044841464,10,2,0.0026955689972965047
20,2,6.727499949325611,10,2,0.002828511002007872
21,2,7.400249944258173,10,2,0.0027617150044534355
22,2,8.14027493868399,10,2,0.0026776869999594055
23,2,8.95430243255239,10,2,0.0026382319992990233
24,2,9.84973267580763,10,2,0.002639224003360141
25,2,10.834705943388395,10,2,0.0027008600009139627
26,2,11.918176537727234,10,2,0.0026550330003374256
27,2,13.10999419149996,10,2,0.0026884370017796755
28,2,14.420993610649957,10,2,0.002686895000806544
29,2,15.863092971714952,10,2,0.0028084329969715327
30,2,17.44940226888645,10,2,0.002666606000275351
31,2,19.194342495775096,10,2,0.002732920998823829
32,2,21.113776745352606,10,2,0.002698144999158103
33,2,23.22515441988787,10,2,0.0026676870038500056
34,2,25.54766986187666,10,2,0.002798194000206422
35,2,28.10243684806433,10,2,0.0026812430005520582
1,2,1.1,10,4,0.0016134199977386743
2,2,1.2100000000000002,10,4,0.002596453996375203
3,2,1.3310000000000004,10,4,0.007279971003299579
4,2,1.4641000000000004,10,4,0.00799265399837168
5,2,1.6105100000000006,10,4,0.008095787998172455
6,2,1.7715610000000008,10,4,0.007883840000431519
7,2,1.9487171000000012,10,4,0.008036184997763485
8,2,2.1435888100000016,10,4,0.007419113004289102
9,2,2.357947691000002,10,4,0.00786759900074685
10,2,2.5937424601000023,10,4,0.007914998001069762
11,2,2.8531167061100025,10,4,0.00807357499434147
12,2,3.138428376721003,10,4,0.008145182000589557
13,2,3.452271214393104,10,4,0.007933731998491567
14,2,3.7974983358324144,10,4,0.008229630002460908
15,2,4.177248169415656,10,4,0.008102170999336522
16,2,4.594972986357222,10,4,0.008094696997432038
17,2,5.054470284992945,10,4,0.00750953199894866
18,2,5.55991731349224,10,4,0.008067625996773131
19,2,6.115909044841464,10,4,0.008273634004581254
20,2,6.727499949325611,10,4,0.007997032000275794
21,2,7.400249944258173,10,4,0.008182981000572909
22,2,8.14027493868399,10,4,0.008083756001724396
23,2,8.95430243255239,10,4,0.008058758001425304
24,2,9.84973267580763,10,4,0.008401653998589609
25,2,10.834705943388395,10,4,0.008028521995584015
26,2,11.918176537727234,10,4,0.00827979599853279
27,2,13.10999419149996,10,4,0.008430558002146427
28,2,14.420993610649957,10,4,0.008020767003472429
29,2,15.863092971714952,10,4,0.008185187994968146
30,2,17.44940226888645,10,4,0.008028671996726189
31,2,19.194342495775096,10,4,0.007965942000737414
32,2,21.113776745352606,10,4,0.008519347000401467
33,2,23.22515441988787,10,4,0.005770374998974148
34,2,25.54766986187666,10,4,0.007968047000758816
35,2,28.10243684806433,10,4,0.007878087999415584
1,2,1.1,10,6,0.004807680001249537
2,2,1.2100000000000002,10,6,0.005226531000516843
3,2,1.3310000000000004,10,6,0.0036155439956928603
4,2,1.4641000000000004,10,6,0.016116955994220916
5,2,1.6105100000000006,10,6,0.016140439998707734
6,2,1.7715610000000008,10,6,0.013371080000069924
7,2,1.9487171000000012,10,6,0.01599910400545923
8,2,2.1435888100000016,10,6,0.016992564997053705
9,2,2.357947691000002,10,6,0.016152885000337847
10,2,2.5937424601000023,10,6,0.01613992799684638
11,2,2.8531167061100025,10,6,0.017199756002810318
12,2,3.138428376721003,10,6,0.016232403999310918
13,2,3.452271214393104,10,6,0.01403215600294061
14,2,3.7974983358324144,10,6,0.016196053999010473
15,2,4.177248169415656,10,6,0.017084418002923485
16,2,4.594972986357222,10,6,0.01603701700514648
17,2,5.054470284992945,10,6,0.016108338997582905
18,2,5.55991731349224,10,6,0.01682431800145423
19,2,6.115909044841464,10,6,0.01659453700267477
20,2,6.727499949325611,10,6,0.017365839004924055
21,2,7.400249944258173,10,6,0.017185730001074262
22,2,8.14027493868399,10,6,0.016233265996561386
23,2,8.95430243255239,10,6,0.016184291998797562
24,2,9.84973267580763,10,6,0.016322032002790365
25,2,10.834705943388395,10,6,0.016446838002593722
26,2,11.918176537727234,10,6,0.016198108001844957
27,2,13.10999419149996,10,6,0.017179257003590465
28,2,14.420993610649957,10,6,0.009733023995067924
29,2,15.863092971714952,10,6,0.016132413999002893
30,2,17.44940226888645,10,6,0.0059769559957203455
31,2,19.194342495775096,10,6,0.01606667100713821
32,2,21.113776745352606,10,6,0.016234545997576788
33,2,23.22515441988787,10,6,0.016133306999108754
34,2,25.54766986187666,10,6,0.016102878995297942
35,2,28.10243684806433,10,6,0.01618123699881835
1,2,1.1,10,9,0.033972597993852105
2,2,1.2100000000000002,10,9,0.034288984003069345
3,2,1.3310000000000004,10,9,0.03397297799529042
4,2,1.4641000000000004,10,9,0.03458344999671681
5,2,1.6105100000000006,10,9,0.03367978499591118
6,2,1.7715610000000008,10,9,0.03428991600230802
7,2,1.9487171000000012,10,9,0.036380386001837905
8,2,2.1435888100000016,10,9,0.035174812997865956
9,2,2.357947691000002,10,9,0.03442068200092763
10,2,2.5937424601000023,10,9,0.034996930000488646
11,2,2.8531167061100025,10,9,0.034526533003372606
12,2,3.138428376721003,10,9,0.034393050002108794
13,2,3.452271214393104,10,9,0.03442837699549273
14,2,3.7974983358324144,10,9,0.03443423799762968
15,2,4.177248169415656,10,9,0.03359854200243717
16,2,4.594972986357222,10,9,0.03458705699449638
17,2,5.054470284992945,10,9,0.03667439999844646
18,2,5.55991731349224,10,9,0.03491976200166391
19,2,6.115909044841464,10,9,0.03482355299638584
20,2,6.727499949325611,10,9,0.036029894996318035
21,2,7.400249944258173,10,9,0.03495675200247206
22,2,8.14027493868399,10,9,0.03668887700041523
23,2,8.95430243255239,10,9,0.03432357000565389
24,2,9.84973267580763,10,9,0.03590203299972927
25,2,10.834705943388395,10,9,0.03594732000055956
26,2,11.918176537727234,10,9,0.03486624200013466
27,2,13.10999419149996,10,9,0.03483962100290228
28,2,14.420993610649957,10,9,0.03401512900018133
29,2,15.863092971714952,10,9,0.03376254099566722
30,2,17.44940226888645,10,9,0.03433517099620076
31,2,19.194342495775096,10,9,0.03380226700392086
32,2,21.113776745352606,10,9,0.035982645000331104
33,2,23.22515441988787,10,9,0.034983994002686813
34,2,25.54766986187666,10,9,0.0349058369974955
35,2,28.10243684806433,10,9,0.036590041003364604
