dimensão,mu,quantidade de observações,quantidade de agrupamentos,tempo de execução (s),custo,u,centers
2,1.1,10000,2,0.44075775500095915,0.062131947654067564,"[[1.64108575e-04 2.03885890e-08 2.06731636e-11 ... 9.76943687e-05
  2.33575947e-05 7.76614130e-08]
 [1.63036691e-04 2.04121239e-08 2.01611820e-11 ... 9.69699958e-05
  2.38189660e-05 7.98975259e-08]]","[[0.24503814 0.22633836]
 [0.2431329  0.22248275]]"
2,1.1,10000,2,0.2978778280012193,0.06372590759185416,"[[1.66400463e-04 2.14555692e-08 2.08679554e-11 ... 9.89151708e-05
  2.47298843e-05 8.37664195e-08]
 [1.67290039e-04 2.14633859e-08 2.12720763e-11 ... 9.95076409e-05
  2.43970548e-05 8.21178979e-08]]","[[0.23486998 0.22042462]
 [0.2360186  0.22318348]]"
2,1.1,10000,2,0.30126040399773046,0.06292576377183227,"[[1.65062112e-04 2.09404759e-08 2.07017231e-11 ... 9.81562564e-05
  2.43216463e-05 8.20574768e-08]
 [1.64292033e-04 2.05324785e-08 2.06967078e-11 ... 9.77625416e-05
  2.37798323e-05 7.96844883e-08]]","[[0.23819701 0.22110461]
 [0.24219256 0.22363217]]"
2,1.1,10000,2,0.3017965440012631,0.06312468375085718,"[[1.67146162e-04 2.11894948e-08 2.14791690e-11 ... 9.94854404e-05
  2.39982410e-05 8.03694460e-08]
 [1.67672505e-04 2.14952847e-08 2.14626333e-11 ... 9.97476739e-05
  2.44133591e-05 8.21952734e-08]]","[[0.23850265 0.2252388 ]
 [0.23555516 0.22323862]]"
2,1.1,10000,2,0.29972805300349137,0.06402177597447681,"[[1.59679138e-04 2.00867554e-08 1.83429566e-11 ... 9.47656622e-05
  2.48518449e-05 8.51028980e-08]
 [1.64059258e-04 2.08766637e-08 1.95968975e-11 ... 9.74565131e-05
  2.47668483e-05 8.40852461e-08]]","[[0.23828722 0.21443738]
 [0.23475843 0.21894381]]"
2,1.1,10000,2,0.2950535609998042,0.06261587855152688,"[[1.64233504e-04 2.05922306e-08 2.06152060e-11 ... 9.77162530e-05
  2.39496410e-05 8.06411124e-08]
 [1.63012371e-04 2.03009086e-08 2.03060111e-11 ... 9.69866196e-05
  2.38199882e-05 8.02121737e-08]]","[[0.24158819 0.22321011]
 [0.24352552 0.2228556 ]]"
2,1.1,10000,2,0.3004545040021185,0.06429037407434375,"[[1.69920527e-04 2.21694307e-08 2.18424233e-11 ... 1.01057452e-04
  2.48719419e-05 8.40137432e-08]
 [1.68177759e-04 2.18926116e-08 2.12620567e-11 ... 9.99719460e-05
  2.49981490e-05 8.48315124e-08]]","[[0.23090282 0.22306748]
 [0.23169787 0.22076195]]"
2,1.1,10000,2,0.30162005800229963,0.06441287685362584,"[[1.62530024e-04 2.07413007e-08 1.95676384e-11 ... 9.65275698e-05
  2.45620978e-05 8.31067001e-08]
 [1.61065596e-04 2.07723172e-08 1.89065181e-11 ... 9.55414928e-05
  2.52235874e-05 8.63736757e-08]]","[[0.23862761 0.21730877]
 [0.23618426 0.21227278]]"
2,1.1,10000,2,0.29601831499894615,0.06375864847416482,"[[1.64035768e-04 2.07489591e-08 2.03845279e-11 ... 9.75305070e-05
  2.43960744e-05 8.26937801e-08]
 [1.65334331e-04 2.11528891e-08 2.06384741e-11 ... 9.82797273e-05
  2.47221257e-05 8.40185556e-08]]","[[0.23890933 0.2201684 ]
 [0.23581532 0.21947121]]"
2,1.1,10000,2,0.309038542000053,0.06358698369374806,"[[1.63994676e-04 2.09372456e-08 2.02321589e-11 ... 9.74574229e-05
  2.46368550e-05 8.36812151e-08]
 [1.64273224e-04 2.08032999e-08 2.04703951e-11 ... 9.76829893e-05
  2.42480774e-05 8.18537927e-08]]","[[0.23760272 0.21863035]
 [0.23965115 0.2211534 ]]"
2,8.325,10000,2,7.452395011998306,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,8.325,10000,2,7.393163846005336,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,8.325,10000,2,7.416923611999664,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,8.325,10000,2,7.4716630289985915,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,8.325,10000,2,7.3780859719990985,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,8.325,10000,2,7.417327110997576,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,8.325,10000,2,7.464424597004836,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,8.325,10000,2,7.362532731996907,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,8.325,10000,2,7.348209760006284,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,8.325,10000,2,0.589929077999841,3.1312625276893925e+201,"[[1.06573667 2.72796875 4.39885499 ... 1.11338052 1.53408992 2.83035416]
 [1.05848308 2.66531585 4.39998358 ... 1.1065792  1.49480358 2.73679039]]","[[0.48738377 0.49095147]
 [0.49402028 0.49382974]]"
2,15.55,10000,2,7.406041640002513,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,15.55,10000,2,7.495406302004994,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,15.55,10000,2,7.450744335001218,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,15.55,10000,2,7.4428080759971635,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,15.55,10000,2,7.414636260000407,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,15.55,10000,2,7.508181452001736,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,15.55,10000,2,7.329056816000957,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,15.55,10000,2,7.394113510003081,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,15.55,10000,2,7.430756938003469,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,15.55,10000,2,7.318368636995729,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,22.775,10000,2,7.513513038000383,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,22.775,10000,2,7.2923481880061445,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,22.775,10000,2,7.359335294997436,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,22.775,10000,2,7.238629084997228,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,22.775,10000,2,7.264146742003504,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,22.775,10000,2,7.274176621998777,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,22.775,10000,2,7.39285421599925,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,22.775,10000,2,7.320791183999972,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,22.775,10000,2,7.278097114001866,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,22.775,10000,2,7.320810780998727,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,30.0,10000,2,7.300341782000032,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,30.0,10000,2,7.348247460999119,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,30.0,10000,2,7.389305013995909,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,30.0,10000,2,7.297116318994085,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,30.0,10000,2,7.320792894002807,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,30.0,10000,2,7.321723058994394,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,30.0,10000,2,7.236123338996549,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,30.0,10000,2,7.265089916996658,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,30.0,10000,2,7.256747401996108,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
2,30.0,10000,2,7.223333660003846,,"[[nan nan nan ... nan nan nan]
 [nan nan nan ... nan nan nan]]","[[nan nan]
 [nan nan]]"
